Mile,Shelter,State,Elevation
1917.3,Speck Pond Shelter & Campsite,ME,3440
1924.2,Baldpate Lean-to,ME,2680
1927.7,Frye Notch Lean-to,ME,2310
1938.2,Hall Mountain Lean-to,ME,2650
1951,Bemis Mountain Lean-to,ME,2850
1959.3,Sabbath Day Pond Lean-to,ME,2400
1970.5,Piazza Rock Lean-to,ME,2110
1979.4,Poplar Ridge Lean-to,ME,2970
1987.4,Spaulding Mountain Lean-to,ME,3140
2006,Horns Pond Lean-tos,ME,3180
2016.2,Little Bigelow Lean-to,ME,1810
2023.9,West Carry Pond Lean-to,ME,1350
2033.9,Pierce Pond Lean-to,ME,1220
2043.6,Pleasant Pond Lean-to,ME,1390
2052.6,Bald Mountain Brook Lean-to,ME,1330
2056.7,Moxie Bald Lean-to,ME,1240
2065.6,Horseshoe Canyon Lean-to,ME,794
2077.6,Leeman Brook Lean-to,ME,1080
2085,Wilson Valley Lean-to,ME,972
2089.7,Long Pond Stream Lean-to,ME,950
2093.7,Cloud Pond Lean-to,ME,2500
2100.6,Chairback Gap Lean-to,ME,1980
2110.5,Carl A. Newhall Lean-to,ME,1940
2117.7,Logan Brook Lean-to,ME,2410
2121.3,East Branch Lean-to,ME,1260
2129.4,Cooper Brook Falls Lean-to,ME,946
2140.8,Potaywadjo Spring Lean-to,ME,655
2150.9,Wadleigh Stream Lean-to,ME,717
2159,Rainbow Stream Lean-to,ME,1020
2170.5,Hurd Brook Lean-to,ME,720
2183.9,The Birches Lean-tos & Campsite,ME,1100
2189.1,KATAHDIN (BAXTER PEAK),ME,5270
